grid_id,node_id,distance,grid_lng,grid_lat,node_lng,node_lat
5057,195477,0.00879480763006673,121.107325,31.336349,121.1148791,31.3318452
5058,195595,0.004342137972238735,121.121075,31.336349,121.1252006,31.3377031
5059,229152,0.002042861311980571,121.134825,31.336349,121.1362115,31.3378493
5060,194214,0.0024350992772419404,121.148575,31.336349,121.1509607,31.336837
5061,57803,0.0025753835228952233,121.162325,31.336349,121.1630535,31.3338788
5062,57687,0.001281912212285198,121.176075,31.336349,121.1767864,31.3374154
5063,181016,0.00100623083336056,121.189825,31.336349,121.1892515,31.3371758
5064,393934,0.001851488709123297,121.203575,31.336349,121.2021762,31.335136
5065,89205,0.0001627833222426741,121.217325,31.336349,121.217257,31.3364969
5066,87448,0.0004364705030165825,121.231075,31.336349,121.2307575,31.3360495
5067,343535,0.00031502793526229063,121.244825,31.336349,121.2451284,31.3364338
5068,379726,0.00028417065294214885,121.258575,31.336349,121.2582914,31.336331
5069,182911,0.00043993908670201344,121.272325,31.336349,121.2727478,31.3364706
5070,547550,0.00022049947845443254,121.286075,31.336349,121.2862809,31.3362701
5071,185404,0.0005366869664899566,121.299825,31.336349,121.2994987,31.3367751
5072,54415,0.0016284344905441396,121.313575,31.336349,121.3144767,31.334993
5073,183501,0.0008522317173122294,121.327325,31.336349,121.3266037,31.3358951
5074,352363,0.0004900163262635336,121.341075,31.336349,121.3406806,31.3366398
5075,455614,0.0002234287358402479,121.354825,31.336349,121.3549192,31.3365516
5076,479235,0.0003552971854593116,121.368575,31.336349,121.3687435,31.3360362
5077,211766,0.0013248116922919,121.382325,31.336349,121.3836461,31.3362499
5078,211852,0.0003537240167176206,121.396075,31.336349,121.3963102,31.3360848
5079,549159,1.073778376065913e-05,121.409825,31.336349,121.4098357,31.3363499
5080,95660,0.0013289951279070727,121.423575,31.336349,121.4234829,31.3376748
5081,211658,0.0006277270266637589,121.437325,31.336349,121.4370871,31.3369299
5082,324713,0.0018000434022586442,121.451075,31.336349,121.4494675,31.335539
5083,76720,0.0013786411425781328,121.464825,31.336349,121.4646064,31.3377102
5084,97609,0.0009900125100143079,121.478575,31.336349,121.4790824,31.3354989
5085,75618,0.00042272821056371873,121.492325,31.336349,121.4926475,31.3360757
5086,86246,0.0003170874485045941,121.506075,31.336349,121.5059419,31.3360612
5087,130340,5.738100730959484e-05,121.519825,31.336349,121.5198777,31.3363717
5088,17927,0.0002964396903240119,121.533575,31.336349,121.5337445,31.3361058
5089,359079,0.001495895250347065,121.547325,31.336349,121.5458326,31.3364512
5090,324507,0.0034305610168013172,121.561075,31.336349,121.5607817,31.332931
5091,90179,0.0008402373950209488,121.574825,31.336349,121.5755138,31.3368302
5092,75980,0.0008686496474360571,121.588575,31.336349,121.5894136,31.3365755
5093,21005,0.00024515276869249963,121.602325,31.336349,121.6021858,31.3361472
5094,373625,0.00048016210803287644,121.616075,31.336349,121.6156016,31.3364293
5095,37974,0.0007611830069045426,121.629825,31.336349,121.6305699,31.3361924
5096,360766,0.0003818233361125347,121.643575,31.336349,121.6433995,31.3366881
5097,360870,0.0003067047114041178,121.657325,31.336349,121.6570183,31.3363507
5098,169695,0.006872990907165002,121.671075,31.336349,121.6685951,31.329939
5099,110455,0.004310965071763866,121.684825,31.336349,121.6889307,31.3350346
5100,110481,0.008695775706053656,121.698575,31.336349,121.6901193,31.3383782
5101,110483,0.02223370891170271,121.712325,31.336349,121.6905316,31.3407519
5102,247837,0.015272300181054304,121.726075,31.336349,121.7329011,31.3500109
5103,247657,0.007587530503400063,121.739825,31.336349,121.7454767,31.3414115
5104,321857,0.002388252118181385,121.753575,31.336349,121.7553133,31.3379867
5105,587757,0.0010393722769031207,121.767325,31.336349,121.7672778,31.3353107
5106,321844,0.0012315949739994606,121.781075,31.336349,121.7822983,31.3362063
5107,246843,0.007276452064017981,121.794825,31.336349,121.7876992,31.334876
5108,262770,0.002274924231704393,121.808575,31.336349,121.8081751,31.3341095
